DVD_Bluray_Comb,year,date,rank,previous_rank,name,units_this_week,change,total_unites,spending_this_week,total_spending,weeks
dvd,2009,8-Feb,11,6,Saw V,"116,390",-44%,"838,783","$1,918,491 ","$17,494,811 ",3
dvd,2009,8-Feb,12,9,Pineapple Express,"107,980",-23%,"1,999,856","$1,899,541 ","$34,526,931 ",5
dvd,2009,8-Feb,13,5,Pride and Glory,"97,552",-58%,"328,603","$1,844,708 ","$6,213,883 ",2
dvd,2009,8-Feb,14,11,The Dark Knight,"89,319",-19%,"12,032,946","$1,439,036 ","$209,265,320 ",9
dvd,2009,8-Feb,15,new,Madagascar: The Complete Collection,"89,143",,"89,143","$2,762,542 ","$2,762,542 ",1
dvd,2009,8-Feb,16,-,Madagascar,"87,461",5336%,"2,218,675","$1,263,488 ","$37,443,347 ",169
dvd,2009,8-Feb,17,16,WALL-E,"83,791",-2%,"8,005,257","$1,292,191 ","$126,166,914 ",12
dvd,2009,8-Feb,18,13,Tyler Perry's The Family That Preys,"81,406",-17%,"839,307","$1,500,345 ","$17,693,862 ",4
dvd,2009,8-Feb,19,15,Mamma Mia!,"76,353",-16%,"5,544,736","$1,416,928 ","$118,116,558 ",8
dvd,2009,8-Feb,20,25,Step Brothers,"69,296",42%,"3,118,272","$1,058,697 ","$54,499,011 ",10
dvd,2009,8-Feb,21,12,Igor,"67,194",-37%,"349,572","$1,343,208 ","$6,987,944 ",3
dvd,2009,8-Feb,22,18,Eagle Eye,"66,268",-2%,"1,846,326","$1,194,196 ","$32,307,666 ",7
dvd,2009,8-Feb,23,10,Mary Poppins,"65,596",-49%,"193,829","$1,048,880 ","$2,906,976 ",568
dvd,2009,8-Feb,24,7,Hulk VS.,"65,427",-63%,"244,321","$980,751 ","$3,994,972 ",2
dvd,2009,8-Feb,25,8,Vicky Cristina Barcelona,"64,136",-54%,"204,217","$1,153,807 ","$3,525,378 ",2
dvd,2009,8-Feb,26,17,My Best Friend's Girl,"54,298",-31%,"537,522","$1,088,832 ","$11,304,495 ",4
dvd,2009,8-Feb,27,23,Wanted,"43,394",-20%,"3,932,094","$672,676 ","$65,941,559 ",10
dvd,2009,8-Feb,28,14,RocknRolla,"38,516",-59%,"132,199","$805,092 ","$2,815,670 ",2
dvd,2009,8-Feb,29,28,Bangkok Dangerous (2008),"36,104",-24%,"617,430","$727,705 ","$12,475,024 ",5
dvd,2009,8-Feb,30,-,Iron Man,"30,906",-16%,"8,739,215","$498,848 ","$156,874,247 ",19
dvd,2009,15-Feb,1,1,Madagascar: Escape 2 Africa,"1,828,194",9%,"3,510,132","$29,452,205 ","$56,548,227 ",2
dvd,2009,15-Feb,2,new,Nights in Rodanthe,"521,218",,"521,218","$8,605,309 ","$8,605,309 ",1
dvd,2009,15-Feb,3,2,Space Buddies,"436,573",-53%,"1,375,431","$6,544,229 ","$20,617,711 ",2
dvd,2009,15-Feb,4,new,Soul Men,"214,630",,"214,630","$4,286,161 ","$4,286,161 ",1
dvd,2009,15-Feb,5,4,Zack and Miri Make a Porno,"178,066",-57%,"596,869","$3,559,539 ","$10,675,002 ",2
dvd,2009,15-Feb,6,5,Fireproof,"173,861",-34%,"988,297","$3,040,829 ","$16,970,137 ",3
dvd,2009,15-Feb,7,new,W.,"143,513",,"143,513","$2,847,298 ","$2,847,298 ",1
dvd,2009,15-Feb,8,new,Miracle at St. Anna,"142,782",,"142,782","$2,568,648 ","$2,568,648 ",1
dvd,2009,15-Feb,9,3,The Secret Life of Bees,"139,308",-69%,"585,022","$2,744,368 ","$10,508,705 ",2
dvd,2009,15-Feb,10,16,Madagascar,"110,971",27%,"2,329,646","$1,138,119 ","$38,581,466 ",170
dvd,2009,15-Feb,11,6,Open Season 2,"105,670",-56%,"901,214","$2,074,302 ","$17,977,227 ",3
dvd,2009,15-Feb,12,7,Nick and Norah's Infinite Playlist,"98,357",-55%,"317,345","$1,671,085 ","$5,391,692 ",2
dvd,2009,15-Feb,13,18,Tyler Perry's The Family That Preys,"96,434",18%,"935,741","$1,734,848 ","$19,428,710 ",5
dvd,2009,15-Feb,14,14,The Dark Knight,"92,050",3%,"12,124,996","$1,516,745 ","$210,782,065 ",10
dvd,2009,15-Feb,15,12,Pineapple Express,"91,227",-16%,"2,091,083","$1,601,444 ","$36,128,375 ",6
dvd,2009,15-Feb,16,15,Madagascar: The Complete Collection,"84,463",-5%,"173,606","$2,617,508 ","$5,380,050 ",2
dvd,2009,15-Feb,17,9,Lakeview Terrace,"80,441",-58%,"772,412","$1,366,693 ","$12,902,439 ",3
dvd,2009,15-Feb,18,17,WALL-E,"78,614",-6%,"8,083,871","$1,212,998 ","$127,379,913 ",13
dvd,2009,15-Feb,19,-,"P.S., I Love You","77,515",11216%,"1,650,292","$1,161,950 ","$26,571,217 ",41
dvd,2009,15-Feb,20,8,Oliver & Company,"76,418",-61%,"274,046",$0 ,"$4,938,724 ",353
dvd,2009,15-Feb,21,19,Mamma Mia!,"76,077",n/c,"5,620,813","$1,453,094 ","$119,569,652 ",9
